Year(s),Country A,Country B,Generic Reason
1947–1948,India,Pakistan,Land dispute
1950–1953,North Korea,South Korea,Ideology
1950–1953,China,South Korea,Ideology
1950–1953,North Korea,United States,Ideology
1956,Egypt,United Kingdom,Power struggle
1956,Egypt,France,Power struggle
1956,Egypt,Israel,Land dispute
1967,Israel,Egypt,Land dispute
1967,Israel,Jordan,Land dispute
1967,Israel,Syria,Land dispute
1973,Israel,Egypt,Land dispute
1973,Israel,Syria,Land dispute
1980–1988,Iran,Iraq,Power struggle
1990–1991,Iraq,United States,Economy
1990–1991,Iraq,United Kingdom,Economy
1991–1995,Bosnia & Herzegovina,Serbia,Ethnic dispute
1991–1995,Bosnia & Herzegovina,Croatia,Land dispute
1999,United States,Yugoslavia,Power struggle
2003–2011,United States,Iraq,Power struggle
2008,Russia,Georgia,Land dispute
2014–2022,Russia,Ukraine,Land dispute
2022–present,Russia,Ukraine,Land dispute
1988–1994,Armenia,Azerbaijan,Land dispute
1973,Palestine,Israel,Land dispute
1948–1949,Palestine,Israel,Land dispute
1967,Palestine,Israel,Land dispute
1947–1948,Pakistan,India,Land dispute
1950–1953,South Korea,North Korea,Ideology
1950–1953,South Korea,China,Ideology
1950–1953,United States,North Korea,Ideology
1956,United Kingdom,Egypt,Power struggle
1956,France,Egypt,Power struggle
1956,Israel,Egypt,Land dispute
1967,Egypt,Israel,Land dispute
1967,Jordan,Israel,Land dispute
1967,Syria,Israel,Land dispute
1973,Egypt,Israel,Land dispute
1973,Syria,Israel,Land dispute
1980–1988,Iraq,Iran,Power struggle
1990–1991,United States,Iraq,Economy
1990–1991,United Kingdom,Iraq,Economy
1991–1995,Serbia,Bosnia & Herzegovina,Ethnic dispute
1991–1995,Croatia,Bosnia & Herzegovina,Land dispute
1999,Yugoslavia,United States,Power struggle
2003–2011,Iraq,United States,Power struggle
2008,Georgia,Russia,Land dispute
2014–2022,Ukraine,Russia,Land dispute
2022–present,Ukraine,Russia,Land dispute
1988–1994,Azerbaijan,Armenia,Land dispute
1973,Israel,Palestine,Land dispute
1948–1949,Israel,Palestine,Land dispute
1967,Israel,Palestine,Land dispute
